Almanca	Türkçe	ein Zwischenfall, der in der Fernsehgeschichte meines Wissens seinesgleichen sucht.	bildiğim kadarıyla televizyon tarihinde benzeri olmayan bir olay.
Almanca	Türkçe	Die Entzündung liegt daran, dass ich die Zähne nicht gut genug putze.	Enflamasyon dişlerimi yeterince iyi fırçalamamaktan kaynaklanıyor.
İngilizce	Türkçe	bewildered	şaşkın
Almanca	Türkçe	berauben	mahrum etmek
Almanca	İngilizce	des Weiteren	Furthermore
Almanca	Türkçe	Ich halte das für gefährlich.	Bence bu tehlikeli.
İngilizce	Almanca	the family had been through a bad event.	die Familie hatte ein schlimmes Ereignis durchgemacht.
Almanca	İngilizce	die Familie hatte ein schlimmes Ereignis durchgemacht.	the family had gone through a bad incident.
İngilizce	Almanca	we are on our own	wir sind allein
Almanca	Türkçe	Ich stelle zu ihrer Überraschung fest.	Onu şaşırttı.
Almanca	Türkçe	Es ist zu vermuten, dass dein arm gebrochen ist.	Kolunuzun kırılmış olması muhtemeldir.
Almanca	Türkçe	vor kurzem	geçenlerde
Almanca	Türkçe	Was ist mit dem Bus?	Peki ya otobüs?
Almanca	İngilizce	das heißt	this means
Almanca	Türkçe	sollen wir nicht verb1 benutzen?	Verb1'i kullanmamalı mıyız?
Almanca	Türkçe	soll es nicht verb1 sein.	Verb1 olmaz mı?
